agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_url
40,100236,545,Redmond - Seattle,3,Redmond Seattle,http://www.soundtransit.org/Schedules/ST-Express-Bus/545
40,100239,550,Bellevue - Seattle,3,Bellevue Seattle,http://www.soundtransit.org/Schedules/ST-Express-Bus/550
40,100240,554,Issaquah - Seattle,3,Issaquah Seattle,http://www.soundtransit.org/Schedules/ST-Express-Bus/554
40,100241,555,Issaquah - Northgate,3,Issaquah Northgate,http://www.soundtransit.org/Schedules/ST-Express-Bus/555
40,100451,556,Issaquah - Northgate,3,Issaquah University District Northgate,http://www.soundtransit.org/Schedules/ST-Express-Bus/556
40,100479,LINK,Link light rail,0,LINK to Sea-Tac,http://www.soundtransit.org/Schedules/ST-Express-Bus/599
40,100511,542,Redmond - University District,3,Redmond University District,http://www.soundtransit.org/Schedules/ST-Express-Bus/542
40,102640,541,,3,Overlake P&R to U-District,http://www.soundtransit.org/Schedules/ST-Express-Bus/541
KMD,100336,973,,4,West Seattle Water Taxi - Boat Schedule,http://www.kingcounty.gov/transportation/kcdot/WaterTaxi.aspx
KMD,100337,975,,4,Vashon Passenger-Only Ferry,http://www.kingcounty.gov/transportation/kcdot/WaterTaxi.aspx
