route_id,trip_id,service_id,trip_headsign,direction_id,block_id
865,30060A727B1138,727A1138,Hospital,0,
865,30061A727B1138,727A1138,Hospital,0,
865,30062A727B1138,727A1138,Hospital,0,
865,30063A727B1138,727A1138,Hospital,0,
865,30064A727B1138,727A1138,Hospital,0,
865,30065A727B1138,727A1138,Hospital,0,
865,30066A727B1138,727A1138,Hospital,0,
865,30067A727B1138,727A1138,Hospital,0,
865,30068A727B1138,727A1138,Hospital,0,
865,30069A727B1138,727A1138,Hospital,0,
865,30070A727B1138,727A1138,Hospital,0,
865,30071A727B1138,727A1138,Hospital,0,
865,30072A727B1138,727A1138,Hospital,0,
865,30073A727B1138,727A1138,Hospital,0,
865,30074A727B1138,727A1138,Hospital,0,
865,30075A727B1138,727A1138,Hospital,0,
865,30076A727B1138,727A1138,Hospital,0,
865,30077A727B1138,727A1138,Hospital,0,
865,30078A727B1138,727A1138,Hospital,0,
865,30079A727B1138,727A1138,Hospital,0,
865,30080A727B1138,727A1138,Hospital,0,
865,30081A727B1138,727A1138,Hospital,0,
865,30082A727B1138,727A1138,Hospital,0,
865,30083A727B1138,727A1138,Hospital,0,
865,31000A727B1138,727A1138,E1,1,
865,31001A727B1138,727A1138,E1,1,
865,31002A727B1138,727A1138,E1,1,
865,31003A727B1138,727A1138,E1,1,
865,31004A727B1138,727A1138,E1,1,
865,31005A727B1138,727A1138,E1,1,
865,31006A727B1138,727A1138,E1,1,
865,31007A727B1138,727A1138,E1,1,
865,31008A727B1138,727A1138,E1,1,
865,31009A727B1138,727A1138,E1,1,
865,31010A727B1138,727A1138,E1,1,
865,31011A727B1138,727A1138,E1,1,
865,31012A727B1138,727A1138,E1,1,
865,31013A727B1138,727A1138,E1,1,
865,31014A727B1138,727A1138,E1,1,
865,31015A727B1138,727A1138,E1,1,
865,31016A727B1138,727A1138,E1,1,
865,31017A727B1138,727A1138,E1,1,
865,31018A727B1138,727A1138,E1,1,
865,31019A727B1138,727A1138,E1,1,
865,31020A727B1138,727A1138,E1,1,
865,31021A727B1138,727A1138,E1,1,
865,31022A727B1138,727A1138,E1,1,
865,31023A727B1138,727A1138,E1,1,
865,31024A727B1138,727A1138,E1,1,
865,31025A727B1138,727A1138,E1,1,
865,31026A727B1138,727A1138,E1,1,
865,31027A727B1138,727A1138,E1,1,
865,31028A727B1138,727A1138,E1,1,
865,31029A727B1138,727A1138,E1,1,
865,31030A727B1138,727A1138,E1,1,
865,31031A727B1138,727A1138,E1,1,
865,31032A727B1138,727A1138,E1,1,
865,31033A727B1138,727A1138,E1,1,
865,31034A727B1138,727A1138,E1,1,
865,31035A727B1138,727A1138,E1,1,
865,31036A727B1138,727A1138,E1,1,
865,31037A727B1138,727A1138,E1,1,
865,31038A727B1138,727A1138,E1,1,
865,31039A727B1138,727A1138,E1,1,
865,31040A727B1138,727A1138,E1,1,
865,31041A727B1138,727A1138,E1,1,
865,31042A727B1138,727A1138,E1,1,
865,31043A727B1138,727A1138,E1,1,
865,31044A727B1138,727A1138,E1,1,
865,31045A727B1138,727A1138,E1,1,
865,31046A727B1138,727A1138,E1,1,
865,31047A727B1138,727A1138,E1,1,
865,31048A727B1138,727A1138,E1,1,
865,31049A727B1138,727A1138,E1,1,
865,31050A727B1138,727A1138,E1,1,
865,31051A727B1138,727A1138,E1,1,
865,31052A727B1138,727A1138,E1,1,
865,31053A727B1138,727A1138,E1,1,
865,31054A727B1138,727A1138,E1,1,
865,31055A727B1138,727A1138,E1,1,
865,31056A727B1138,727A1138,E1,1,
865,31057A727B1138,727A1138,E1,1,
865,31058A727B1138,727A1138,E1,1,
865,31059A727B1138,727A1138,E1,1,
865,31060A727B1138,727A1138,E1,1,
865,31061A727B1138,727A1138,E1,1,
865,31062A727B1138,727A1138,E1,1,
865,31063A727B1138,727A1138,E1,1,
865,31064A727B1138,727A1138,E1,1,
865,31065A727B1138,727A1138,E1,1,
865,31066A727B1138,727A1138,E1,1,
865,31067A727B1138,727A1138,E1,1,
865,31068A727B1138,727A1138,E1,1,
865,31069A727B1138,727A1138,E1,1,
