Vehicle_Id,Timestamp,Trip_Id,Route_Id,Latitude,Longitude
260,1459820339,[],[],47.176445,-122.48388
221,1459569235,[],[],47.16473,-122.48356
227,1459828542,[],[],47.17306,-122.48388
185,1459832640,6299643,1,47.07596,-122.42484
226,1459819771,[],[],47.16484,-122.47952
8044,1459538207,[],[],47.154884,-122.30376
5810,1459525478,[],[],47.164345,-122.48104
5817,1459476586,[],[],47.23073,-122.44428
209,1459823635,[],[],47.240795,-122.4256
508,1459827573,[],[],47.166737,-122.50756
198,1459818287,[],[],47.176556,-122.4842
191,1459832617,6298078,1,47.255234,-122.47452
215,1459820276,[],[],47.221024,-122.4636
174,1459823498,[],[],47.175896,-122.48392
204,1459816625,[],[],47.23615,-122.42392
168,1459654600,[],[],47.176445,-122.49624
505,1459819224,[],[],47.170258,-122.46992
228,1459832652,6298148,500,47.31639,-122.30328
323,1459823317,[],[],47.164234,-122.48328
240,1459819272,[],[],47.1699,-122.4658
8069,1459816307,[],[],47.173283,-122.46976
306,1459822687,[],[],47.18046,-122.48392
257,1459832609,6299622,2,47.192726,-122.51928
514,1459827957,[],[],47.17023,-122.47804
218,1459818224,[],[],47.15538,-122.29868
232,1459820039,[],[],47.163795,-122.48192
203,1459829549,[],[],47.16712,-122.4836
188,1459824908,[],[],47.161293,-122.47196
199,1459727663,[],[],47.16385,-122.48212
520,1459829036,[],[],47.169544,-122.49068
313,1459824917,[],[],47.17515,-122.48392
521,1459820976,[],[],47.151363,-122.50072
236,1459823470,[],[],47.18156,-122.48388
254,1459823250,[],[],47.16935,-122.48368
201,1459819021,[],[],47.170258,-122.48272
