Vehicle_Id,Timestamp,Trip_Id,Route_Id,Latitude,Longitude
3523,1459562945,[],[],47.65571,-122.31208
7010,1459569727,[],[],47.31581,-122.19239
7177,1459577130,[],[],47.318813,-122.18706
6891,1459659829,[],[],47.481228,-122.206535
6985,1459572110,[],[],47.48025,-122.20803
3723,1459730636,30898834,100130,47.67629,-122.20342
2523,1459662948,[],[],47.601562,-122.33026
4211,1459549680,[],[],47.60952,-122.33834
6947,1459730336,[],[],47.61451,-122.33084
3618,1459469103,[],[],47.758556,-122.2412
7216,1459520779,[],[],47.61333,-122.19091
3758,1459473377,[],[],47.46874,-122.183395
6818,1459614431,[],[],47.642914,-122.196434
4378,1459565020,[],[],47.599197,-122.32842
6852,1459577167,[],[],47.74245,-122.18752
7025,1459564006,[],[],47.637684,-122.27711
6842,1459553500,[],[],47.66341,-122.19622
4204,1459582110,[],[],47.59919,-122.317245
6067,1459597427,[],[],47.5924,-122.32788
6009,1459730677,29665409,102619,47.473995,-122.21575
7070,1459556167,[],[],47.732315,-122.35544
2621,1459561320,[],[],47.77258,-122.28781
7018,1459730576,30903275,100009,47.61285,-122.3304
3357,1459558200,[],[],47.582306,-122.15107
6975,1459559847,[],[],47.754814,-122.16534
7104,1459726212,[],[],47.607998,-122.29615
6218,1459642149,[],[],47.626995,-122.333084
1120,1459493657,[],[],47.581146,-122.14183
6004,1459568985,[],[],47.500404,-122.2007
7254,1459561441,[],[],47.20157,-121.99178
3672,1459649690,[],[],47.70317,-122.327126
6024,1459730058,[],[],47.676662,-122.12486
2778,1459730597,30941062,100224,47.650597,-122.30579
2550,1459557584,[],[],47.655613,-122.400894
2518,1459574402,[],[],47.59576,-122.32905
2605,1459654468,[],[],47.723534,-122.292915
4337,1459582026,[],[],47.61276,-122.3415
2362,1459554366,[],[],47.315456,-122.31349
2798,1459683406,[],[],47.59197,-122.327484
2571,1459555927,[],[],47.331684,-122.01099
2535,1459665829,[],[],47.679367,-122.26374
6017,1459730671,29664988,100512,47.354126,-122.31147
6954,1459730597,29664716,100003,47.486317,-122.25689
7107,1459730576,30940725,100219,47.583645,-122.29962
2896,1459730679,30903933,100252,47.61467,-122.342545
3658,1459669729,[],[],47.703796,-122.32316
3748,1459730652,30772256,100196,47.774647,-122.30949
6825,1459563042,[],[],47.74348,-122.17497
6994,1459563081,[],[],47.711193,-122.187
2439,1459552985,[],[],47.59244,-122.32905
2320,1459673492,[],[],47.60865,-122.33679
2806,1459730534,30909610,100229,47.746994,-122.35795
6918,1459561201,[],[],47.657707,-122.08806
1142,1459553340,[],[],47.56225,-122.1517
4383,1459473943,[],[],47.622677,-122.31264
6085,1459558647,[],[],47.602177,-122.328125
6070,1459730676,30909336,102581,47.70254,-122.36378
6979,1459680032,[],[],47.442307,-122.29596
3625,1459559741,[],[],47.690506,-122.39686
6055,1459672648,[],[],47.521072,-122.37725
4357,1459558180,[],[],47.622513,-122.31264
6984,1459560281,[],[],47.480385,-122.20803
2717,1459558466,[],[],47.5424,-122.062416
2899,1459730659,30903863,100252,47.600723,-122.32766
4318,1459564582,[],[],47.599205,-122.3335
2313,1459648327,[],[],47.624584,-122.35663
7184,1459472938,[],[],47.359966,-122.2919
7204,1459563160,[],[],47.75915,-122.24392
3632,1459730537,30904266,100169,47.70052,-122.36445
3698,1459730692,30904396,100030,47.57153,-122.328926
2770,1459668329,[],[],47.599586,-122.33003
2872,1459560107,[],[],47.581802,-122.30078
7135,1459578946,[],[],47.387135,-122.30183
2882,1459730558,30978907,100225,47.655373,-122.313286
6944,1459586286,[],[],47.719296,-122.298065
6890,1459561641,[],[],47.600723,-122.0355
6046,1459730634,30909290,102576,47.617805,-122.338356
2756,1459563161,[],[],47.774582,-122.34205
4232,1459584784,[],[],47.599194,-122.32798
1138,1459563584,[],[],47.544697,-122.06278
6081,1459683835,[],[],47.625282,-122.33844
7075,1459730238,[],[],47.604267,-122.33491
2530,1459730637,30903363,100023,47.589905,-122.32597
3716,1459730634,[],[],47.758392,-122.19028
6001,1459730657,29665410,102619,47.466778,-122.31318
7042,1459730558,29664226,100078,47.31744,-122.30417
3695,1459730690,30772790,100259,47.672447,-122.31737
2411,1459477298,[],[],47.668655,-122.39268
6835,1459557281,[],[],47.733852,-122.175575
7092,1459669690,[],[],47.523304,-122.26907
3337,1459562860,[],[],47.646065,-122.12255
3639,1459651447,[],[],47.703148,-122.32369
2870,1459540566,[],[],47.592403,-122.32898
3728,1459697630,[],[],47.785187,-122.315094
2672,1459564670,[],[],47.758293,-122.190285
3605,1459556901,[],[],47.517334,-122.353584
3686,1459651229,[],[],47.733833,-122.302376
3737,1459730638,31036736,100203,47.734352,-122.33428
7156,1459730557,29664204,100026,47.48948,-122.29772
