trip_id,stop_id,arrival_time,departure_time,stop_sequence,stop_headsign
1704,S_MU,17:47:00,17:47:00,3,Everett Station
1704,S_EV,18:04:00,18:04:00,4,Everett Station
1705,S_EV,06:45:00,06:45:00,1,King Street Station
1705,S_MU,06:56:00,06:56:00,2,King Street Station
1705,S_ED,07:11:00,07:11:00,3,King Street Station
1705,S_KS,07:44:00,07:44:00,4,King Street Station
1706,S_KS,17:35:00,17:35:00,1,Everett Station
1706,S_ED,18:02:00,18:02:00,2,Everett Station
1706,S_MU,18:17:00,18:17:00,3,Everett Station
1706,S_EV,18:34:00,18:34:00,4,Everett Station
1707,S_EV,07:15:00,07:15:00,1,King Street Station
1707,S_MU,07:26:00,07:26:00,2,King Street Station
1707,S_ED,07:41:00,07:41:00,3,King Street Station
1707,S_KS,08:14:00,08:14:00,4,King Street Station
510,S_KS,07:40:00,07:40:00,1,Everett
510,S_ED,08:07:00,08:07:00,2,Everett
510,S_EV,08:31:00,08:31:00,3,Everett
513,S_EV,09:52:00,09:52:00,1,Seattle
513,S_ED,10:17:00,10:17:00,2,Seattle
513,S_KS,10:55:00,10:55:00,3,Seattle
516,S_KS,18:40:00,18:40:00,1,Everett
516,S_ED,19:07:00,19:07:00,2,Everett
516,S_EV,19:31:00,19:31:00,3,Everett
517,S_EV,20:59:00,20:59:00,1,Seattle
517,S_ED,21:24:00,21:24:00,2,Seattle
517,S_KS,22:00:00,22:00:00,3,Seattle
TLNBSA,TL_TD,07:54:00,07:54:00,1,Theater District Station
TLNBSA,TL_25,07:56:00,07:56:00,2,Theater District Station
TLNBSA,TL_US,07:58:00,07:58:00,3,Theater District Station
TLNBSA,TL_CC,08:00:00,08:00:00,4,Theater District Station
TLNBSA,TL_CS,08:02:00,08:02:00,5,Theater District Station
TLNBSA,TL_THD,08:04:00,08:04:00,6,Theater District Station
TLNBSU,TL_TD,10:18:00,10:18:00,1,Theater District Station
TLNBSU,TL_25,10:20:00,10:20:00,2,Theater District Station
TLNBSU,TL_US,10:22:00,10:22:00,3,Theater District Station
TLNBSU,TL_CC,10:24:00,10:24:00,4,Theater District Station
TLNBSU,TL_CS,10:26:00,10:26:00,5,Theater District Station
TLNBSU,TL_THD,10:28:00,10:28:00,6,Theater District Station
TLNBWD,TL_TD,05:30:00,05:30:00,1,Theater District Station
TLNBWD,TL_25,05:32:00,05:32:00,2,Theater District Station
TLNBWD,TL_US,05:34:00,05:34:00,3,Theater District Station
TLNBWD,TL_CC,05:36:00,05:36:00,4,Theater District Station
TLNBWD,TL_CS,05:38:00,05:38:00,5,Theater District Station
TLNBWD,TL_THD,05:40:00,05:40:00,6,Theater District Station
TLSBSA,TL_THD,07:54:00,07:54:00,1,Tacoma Dome Station
TLSBSA,TL_CS,07:56:00,07:56:00,2,Tacoma Dome Station
TLSBSA,TL_CC,07:58:00,07:58:00,3,Tacoma Dome Station
TLSBSA,TL_US,08:00:00,08:00:00,4,Tacoma Dome Station
TLSBSA,TL_25,08:02:00,08:02:00,5,Tacoma Dome Station
TLSBSA,TL_TD,08:04:00,08:04:00,6,Tacoma Dome Station
TLSBSU,TL_THD,10:06:00,10:06:00,1,Tacoma Dome Station
TLSBSU,TL_CS,10:08:00,10:08:00,2,Tacoma Dome Station
TLSBSU,TL_CC,10:10:00,10:10:00,3,Tacoma Dome Station
TLSBSU,TL_US,10:12:00,10:12:00,4,Tacoma Dome Station
TLSBSU,TL_25,10:14:00,10:14:00,5,Tacoma Dome Station
TLSBSU,TL_TD,10:16:00,10:16:00,6,Tacoma Dome Station
TLSBWD,TL_THD,05:18:00,05:18:00,1,Tacoma Dome Station
TLSBWD,TL_CS,05:20:00,05:20:00,2,Tacoma Dome Station
TLSBWD,TL_CC,05:22:00,05:22:00,3,Tacoma Dome Station
TLSBWD,TL_US,05:24:00,05:24:00,4,Tacoma Dome Station
TLSBWD,TL_25,05:26:00,05:26:00,5,Tacoma Dome Station
TLSBWD,TL_TD,05:28:00,05:28:00,6,Tacoma Dome Station
